;Titolo;Autore;Casa Editrice;Cassetta
280;La guerra gallica Libro 6;Cesare Giulio;Avia Pervia;9
275;La guerra giugurtina;Crispo C. Sallustio;Avia Pervia;9
109;La lettura intelligente;Mazzotta, Savoia;;
79;La lince;Avallone;;
212;La locandiera;Goldoni Carlo;Newton;7
13;La morte non sa leggere;Rendell Ruth;Mondadori;1
25;La nostra repubblica;Garroni Alessandro Galante;Loescher;1
250;La notte di Galia, Di fronte ai boschi;Yehoshua Abraham B.;Il Sole 24 Ore;8
179;La prima filippica;Demostene;;
189;La quarta orazione contro Catilina;Cicerone;Ciranna & Ferrara;6
148;La ragazza di Bube;Cassola Carlo;BUR;3
59;La ricerca del legname;Magliani;;
181;La seconda orazione contro Catilina;Cicerone;;
194;La seconda orazione contro Catilina Libro 4;Cicerone;Società editrice Dante Alighieri;6
158;La smorfia;;Il girasole;3
94;La smorfia;;Migrè;
